Gaze 3D position left X, Gaze 3D position left Y, Gaze 3D position left Z, Gaze 3D position right X,Gaze 3D position right Y,Gaze 3D position right Z,Pupil diameter left,Pupil diameter right, HR, GSR, ConationLevel
21.60799942,43.31858215,89.44954834,8.257231903,37.78403015,89.44954834,3.16,2.94,86.84,0.777179818,0
14.93261566,40.55130615,87.56189575,0,0,0,3.16,2.94,86.84,0.777179818,0
0,0,0,0,0,0,3.14,2.91,86.84,0.777179818,0
0,0,0,0,0,0,3.12,2.9,86.84,0.777179818,0
0,0,0,0,0,0,3.11,2.9,86.84,0.786755738,0
0,0,0,0,0,0,3.13,2.92,86.84,0.797105656,0
0,0,0,0,0,0,3.13,2.93,86.84,0.797105656,0
0,0,0,0,0,0,3.16,2.93,86.84,0.802886357,0
0,0,0,0,0,0,3.17,2.94,86.84,0.802886357,0
0,0,0,0,0,0,3.18,2.95,86.84,0.802886357,0
0,0,0,0,0,0,3.18,2.94,86.84,0.802886357,0
0,0,0,0,0,0,3.18,2.94,86.84,0.802886357,0
0,0,0,0,0,0,3.18,2.94,87.34,0.805869897,0
0,0,0,0,0,0,3.17,2.94,87.34,0.805869897,0
0,0,0,0,0,0,3.17,2.93,87.34,0.805869897,0
0,0,0,0,0,0,3.17,2.93,87.34,0.805869897,0
0,0,0,0,0,0,3.17,2.93,87.34,0.805869897,0
0,0,0,0,0,0,3.17,2.93,87.34,0.805869897,0
0,0,0,0,0,0,3.17,2.93,87.34,0.808502308,0
0,0,0,0,0,0,3.11,2.87,87.34,0.810940435,0
0,0,0,0,0,0,3.12,2.85,87.34,0.810940435,0
0,0,0,0,0,0,3.09,2.87,87.34,0.810940435,0
0,0,0,0,0,0,3.09,2.85,87.34,0.810940435,0
0,0,0,0,0,0,3.08,2.84,87.34,0.810940435,0
0,0,0,0,0,0,3.08,2.84,87.34,0.810940435,0
0,0,0,0,0,0,3.07,2.84,87.34,0.814687092,0
0,0,0,0,0,0,3.07,2.83,87.34,0.814687092,0
0,0,0,0,0,0,3.07,2.83,87.34,0.814687092,0
0,0,0,0,0,0,3.1,2.89,83.43,0.841921086,0
0,0,0,0,0,0,3.2,3,79.27,0.839711982,0
